ip,date,time,cik,accession,extention,code,size,norefer,noagent,find,browser
66.180.170.jbf,12/31/2006,00:04:17,1108699,0001019687-06-003189,.txt,200,3349,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:18,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:19,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:19,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:20,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:37,1139812,0001127602-06-002999,.txt,200,3373,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:39,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:39,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:39,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:40,1104734,0001328715-06-000039,primary_doc.xml,200,5897,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:40,1104734,0001328715-06-000039,.txt,200,3572,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:41,319201,0001209191-06-067486,bpa26163_bpa1jk.xml,200,19053,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:41,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:42,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:42,1063561,0001179110-06-024474,.txt,200,3430,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:43,1108699,0001019687-06-003189,.txt,200,3349,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:44,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:46,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:04:46,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:05:02,932111,0001184236-06-000027,edgar.xml,200,3893,1,0,0,lin
66.180.170.jbf,12/31/2006,00:05:02,932111,0001184236-06-000027,.txt,200,3337,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:04,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:05,1104734,0001328715-06-000039,.txt,200,3572,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:08,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:08,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:08,1108699,0001019687-06-003189,edgar.xml,200,5375,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:09,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:10,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:10,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:27,932111,0001184236-06-000027,.txt,200,3337,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:28,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:29,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:30,1001258,0001125282-06-008176,form.xml,200,5536,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:30,1001258,0001125282-06-008176,.txt,200,3317,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:32,1063561,0001179110-06-024474,edgar.xml,200,11560,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:32,1063561,0001179110-06-024474,.txt,200,3430,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:32,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:33,1108699,0001019687-06-003189,.txt,200,3349,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:33,1063561,0001179110-06-024474,.txt,200,3430,1,0,0,lin
66.180.170.jbf,12/31/2006,00:06:34,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
71.146.62.aje,12/31/2006,17:32:46,873591,0000950133-06-001170,w18479e10vk.htm,200,900753,0,0,9,win
214.13.209.efb,12/31/2006,17:32:49,1032562,0000950137-06-012410,c09565e10vq.htm,200,668802,0,0,9,win
71.131.9.ghf,12/31/2006,17:32:49,1082038,0001082038-06-000029,xslF345X02/edgardoc.xml,200,15040,0,0,10,win
24.8.29.dce,12/31/2006,17:33:00,12927,0001193125-06-040952,d10k.htm,200,1867855,0,0,10,win
69.39.50.hbc,12/31/2006,17:33:02,1127245,0000931763-01-000469,.txt,200,2954,0,0,1,win
152.163.101.jdj,12/31/2006,17:33:03,1368505,0001183740-06-000354,.txtl,200,3202,0,0,6,win
76.177.188.jfg,12/31/2006,17:33:08,880285,0001104659-06-011548,.txt,200,4578,0,0,1,win
72.225.239.jid,12/31/2006,17:33:10,1332784,0000891092-06-003552,.txt,200,2716,0,0,1,win
75.21.81.djf,12/31/2006,17:33:22,1174746,0000000000-06-033026,filename1.pdf,200,20791,0,0,9,win
76.177.188.jfg,12/31/2006,17:33:23,880285,0001104659-06-011548,a06-2517_110k.htm,200,4051326,0,0,9,win
